Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,PreTransport,PostProcessing
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.1,0.30000000000000004
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,0.9,0.2
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,0.30000000000000004,0.8
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.4,0.2
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,3.7,0.30000000000000004
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.1
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.8,0.1
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,1.7,0.9
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,0.7,0.7
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.1,0.5
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7,0.1
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.0,0.2
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.1999999999999997,0.2
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,0.5,0.5
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,2.3,0.7
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,4.8999999999999995,1.1
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,6.5,1.1
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,2.4000000000000004,1.1
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,2.7,1.0
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,4.6,1.4
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.1,0.30000000000000004
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.1
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.1
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.3,0.1
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.30000000000000004,0.2
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.19999999999999998,0.1
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.4,0.4
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.2,0.1
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,0.7,0.4
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,0.6,0.7999999999999999
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.5,0.2
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,14.700000000000001,1.8000000000000003
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.2,0.5
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,58.89999999999999,0.7
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,20.2,0.8999999999999999
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,23.5,1.0
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,6.4,0.8
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,5.4,0.7
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.3000000000000003,0.5
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,20.599999999999998,0.6000000000000001
Eggs,0.7,2.2,1.3,0.0,0.1,0.2,0.0,4.2,0.30000000000000004
Fish (farmed),0.5,0.8,3.6,0.0,0.1,0.1,0.0,4.9,0.2
Shrimps (farmed),0.2,2.5,8.4,0.0,0.2,0.3,0.2,11.100000000000001,0.7
